,username,gender,age,occupation,age,zipcode,password
0,user1,F,1,K-12 student,Under 18,48067,youaresosmartifyoufiguredoutthispassword
1,user2,M,56,self-employed,56+,70072,youaresosmartifyoufiguredoutthispassword
2,user3,M,25,scientist,25-34,55117,youaresosmartifyoufiguredoutthispassword
3,user4,M,45,executive/managerial,45-49,02460,youaresosmartifyoufiguredoutthispassword
4,user5,M,25,writer,25-34,55455,youaresosmartifyoufiguredoutthispassword
5,user6,F,50,homemaker,50-55,55117,youaresosmartifyoufiguredoutthispassword
6,user7,M,35,academic/educator,35-44,06810,youaresosmartifyoufiguredoutthispassword
7,user8,M,25,programmer,25-34,11413,youaresosmartifyoufiguredoutthispassword
8,user9,M,25,technician/engineer,25-34,61614,youaresosmartifyoufiguredoutthispassword
9,user10,F,35,academic/educator,35-44,95370,youaresosmartifyoufiguredoutthispassword
10,user11,F,25,academic/educator,25-34,04093,youaresosmartifyoufiguredoutthispassword
11,user12,M,25,programmer,25-34,32793,youaresosmartifyoufiguredoutthispassword
12,user13,M,45,academic/educator,45-49,93304,youaresosmartifyoufiguredoutthispassword
13,user14,M,35,other or not specified,35-44,60126,youaresosmartifyoufiguredoutthispassword
14,user15,M,25,executive/managerial,25-34,22903,youaresosmartifyoufiguredoutthispassword
15,user16,F,35,other or not specified,35-44,20670,youaresosmartifyoufiguredoutthispassword
16,user17,M,50,academic/educator,50-55,95350,youaresosmartifyoufiguredoutthispassword
17,user18,F,18,clerical/admin,18-24,95825,youaresosmartifyoufiguredoutthispassword
18,user19,M,1,K-12 student,Under 18,48073,youaresosmartifyoufiguredoutthispassword
19,user20,M,25,sales/marketing,25-34,55113,youaresosmartifyoufiguredoutthispassword
20,user21,M,18,self-employed,18-24,99353,youaresosmartifyoufiguredoutthispassword
21,user22,M,18,scientist,18-24,53706,youaresosmartifyoufiguredoutthispassword
22,user23,M,35,other or not specified,35-44,90049,youaresosmartifyoufiguredoutthispassword
23,user24,F,25,executive/managerial,25-34,10023,youaresosmartifyoufiguredoutthispassword
24,user25,M,18,college/grad student,18-24,01609,youaresosmartifyoufiguredoutthispassword
25,user26,M,25,executive/managerial,25-34,23112,youaresosmartifyoufiguredoutthispassword
26,user27,M,25,lawyer,25-34,19130,youaresosmartifyoufiguredoutthispassword
27,user28,F,25,academic/educator,25-34,14607,youaresosmartifyoufiguredoutthispassword
28,user29,M,35,executive/managerial,35-44,33407,youaresosmartifyoufiguredoutthispassword
29,user30,F,35,executive/managerial,35-44,19143,youaresosmartifyoufiguredoutthispassword
30,user31,M,56,executive/managerial,56+,06840,youaresosmartifyoufiguredoutthispassword
31,user32,F,25,other or not specified,25-34,19355,youaresosmartifyoufiguredoutthispassword
32,user33,M,45,clerical/admin,45-49,55421,youaresosmartifyoufiguredoutthispassword
33,user34,F,18,other or not specified,18-24,02135,youaresosmartifyoufiguredoutthispassword
34,user35,M,45,academic/educator,45-49,02482,youaresosmartifyoufiguredoutthispassword
35,user36,M,25,clerical/admin,25-34,94123,youaresosmartifyoufiguredoutthispassword
36,user37,F,25,homemaker,25-34,66212,youaresosmartifyoufiguredoutthispassword
37,user38,F,18,college/grad student,18-24,02215,youaresosmartifyoufiguredoutthispassword
38,user39,M,18,college/grad student,18-24,61820,youaresosmartifyoufiguredoutthispassword
39,user40,M,45,other or not specified,45-49,10543,youaresosmartifyoufiguredoutthispassword
40,user41,F,18,college/grad student,18-24,15116,youaresosmartifyoufiguredoutthispassword
41,user42,M,25,farmer,25-34,24502,youaresosmartifyoufiguredoutthispassword
42,user43,M,25,programmer,25-34,60614,youaresosmartifyoufiguredoutthispassword
43,user44,M,45,technician/engineer,45-49,98052,youaresosmartifyoufiguredoutthispassword
44,user45,F,45,self-employed,45-49,94110,youaresosmartifyoufiguredoutthispassword
45,user46,M,18,unemployed,18-24,75602,youaresosmartifyoufiguredoutthispassword
46,user47,M,18,college/grad student,18-24,94305,youaresosmartifyoufiguredoutthispassword
47,user48,M,25,college/grad student,25-34,92107,youaresosmartifyoufiguredoutthispassword
48,user49,M,18,programmer,18-24,77084,youaresosmartifyoufiguredoutthispassword
49,user50,F,25,artist,25-34,98133,youaresosmartifyoufiguredoutthispassword
50,user51,F,1,K-12 student,Under 18,10562,youaresosmartifyoufiguredoutthispassword
51,user52,M,18,college/grad student,18-24,72212,youaresosmartifyoufiguredoutthispassword
52,user53,M,25,other or not specified,25-34,96931,youaresosmartifyoufiguredoutthispassword
53,user54,M,50,academic/educator,50-55,56723,youaresosmartifyoufiguredoutthispassword
54,user55,F,35,programmer,35-44,55303,youaresosmartifyoufiguredoutthispassword
55,user56,M,35,writer,35-44,60440,youaresosmartifyoufiguredoutthispassword
56,user57,M,18,unemployed,18-24,30350,youaresosmartifyoufiguredoutthispassword
57,user58,M,25,artist,25-34,30303,youaresosmartifyoufiguredoutthispassword
58,user59,F,50,academic/educator,50-55,55413,youaresosmartifyoufiguredoutthispassword
59,user60,M,50,academic/educator,50-55,72118,youaresosmartifyoufiguredoutthispassword
