username,gender,age,occupation,age,zipcode,password
user1,F,1,K-12 student,Under 18,48067,youaresosmartifyoufiguredoutthispassword
user2,M,56,self-employed,56+,70072,youaresosmartifyoufiguredoutthispassword
user3,M,25,scientist,25-34,55117,youaresosmartifyoufiguredoutthispassword
user4,M,45,executive/managerial,45-49,2460,youaresosmartifyoufiguredoutthispassword
user5,M,25,writer,25-34,55455,youaresosmartifyoufiguredoutthispassword
user6,F,50,homemaker,50-55,55117,youaresosmartifyoufiguredoutthispassword
user7,M,35,academic/educator,35-44,6810,youaresosmartifyoufiguredoutthispassword
user8,M,25,programmer,25-34,11413,youaresosmartifyoufiguredoutthispassword
user9,M,25,technician/engineer,25-34,61614,youaresosmartifyoufiguredoutthispassword
user10,F,35,academic/educator,35-44,95370,youaresosmartifyoufiguredoutthispassword
user11,F,25,academic/educator,25-34,4093,youaresosmartifyoufiguredoutthispassword
user12,M,25,programmer,25-34,32793,youaresosmartifyoufiguredoutthispassword
user13,M,45,academic/educator,45-49,93304,youaresosmartifyoufiguredoutthispassword
user14,M,35,other or not specified,35-44,60126,youaresosmartifyoufiguredoutthispassword
user15,M,25,executive/managerial,25-34,22903,youaresosmartifyoufiguredoutthispassword
user16,F,35,other or not specified,35-44,20670,youaresosmartifyoufiguredoutthispassword
user17,M,50,academic/educator,50-55,95350,youaresosmartifyoufiguredoutthispassword
user18,F,18,clerical/admin,18-24,95825,youaresosmartifyoufiguredoutthispassword
user19,M,1,K-12 student,Under 18,48073,youaresosmartifyoufiguredoutthispassword
user20,M,25,sales/marketing,25-34,55113,youaresosmartifyoufiguredoutthispassword
user21,M,18,self-employed,18-24,99353,youaresosmartifyoufiguredoutthispassword
user22,M,18,scientist,18-24,53706,youaresosmartifyoufiguredoutthispassword
user23,M,35,other or not specified,35-44,90049,youaresosmartifyoufiguredoutthispassword
user24,F,25,executive/managerial,25-34,10023,youaresosmartifyoufiguredoutthispassword
user25,M,18,college/grad student,18-24,1609,youaresosmartifyoufiguredoutthispassword
user26,M,25,executive/managerial,25-34,23112,youaresosmartifyoufiguredoutthispassword
user27,M,25,lawyer,25-34,19130,youaresosmartifyoufiguredoutthispassword
user28,F,25,academic/educator,25-34,14607,youaresosmartifyoufiguredoutthispassword
user29,M,35,executive/managerial,35-44,33407,youaresosmartifyoufiguredoutthispassword
user30,F,35,executive/managerial,35-44,19143,youaresosmartifyoufiguredoutthispassword
user31,M,56,executive/managerial,56+,6840,youaresosmartifyoufiguredoutthispassword
user32,F,25,other or not specified,25-34,19355,youaresosmartifyoufiguredoutthispassword
user33,M,45,clerical/admin,45-49,55421,youaresosmartifyoufiguredoutthispassword
user34,F,18,other or not specified,18-24,2135,youaresosmartifyoufiguredoutthispassword
user35,M,45,academic/educator,45-49,2482,youaresosmartifyoufiguredoutthispassword
user36,M,25,clerical/admin,25-34,94123,youaresosmartifyoufiguredoutthispassword
user37,F,25,homemaker,25-34,66212,youaresosmartifyoufiguredoutthispassword
user38,F,18,college/grad student,18-24,2215,youaresosmartifyoufiguredoutthispassword
user39,M,18,college/grad student,18-24,61820,youaresosmartifyoufiguredoutthispassword
user40,M,45,other or not specified,45-49,10543,youaresosmartifyoufiguredoutthispassword
user41,F,18,college/grad student,18-24,15116,youaresosmartifyoufiguredoutthispassword
user42,M,25,farmer,25-34,24502,youaresosmartifyoufiguredoutthispassword
user43,M,25,programmer,25-34,60614,youaresosmartifyoufiguredoutthispassword
user44,M,45,technician/engineer,45-49,98052,youaresosmartifyoufiguredoutthispassword
user45,F,45,self-employed,45-49,94110,youaresosmartifyoufiguredoutthispassword
user46,M,18,unemployed,18-24,75602,youaresosmartifyoufiguredoutthispassword
user47,M,18,college/grad student,18-24,94305,youaresosmartifyoufiguredoutthispassword
user48,M,25,college/grad student,25-34,92107,youaresosmartifyoufiguredoutthispassword
user49,M,18,programmer,18-24,77084,youaresosmartifyoufiguredoutthispassword
user50,F,25,artist,25-34,98133,youaresosmartifyoufiguredoutthispassword
user51,F,1,K-12 student,Under 18,10562,youaresosmartifyoufiguredoutthispassword
user52,M,18,college/grad student,18-24,72212,youaresosmartifyoufiguredoutthispassword
user53,M,25,other or not specified,25-34,96931,youaresosmartifyoufiguredoutthispassword
user54,M,50,academic/educator,50-55,56723,youaresosmartifyoufiguredoutthispassword
user55,F,35,programmer,35-44,55303,youaresosmartifyoufiguredoutthispassword
user56,M,35,writer,35-44,60440,youaresosmartifyoufiguredoutthispassword
user57,M,18,unemployed,18-24,30350,youaresosmartifyoufiguredoutthispassword
user58,M,25,artist,25-34,30303,youaresosmartifyoufiguredoutthispassword
user59,F,50,academic/educator,50-55,55413,youaresosmartifyoufiguredoutthispassword
user60,M,50,academic/educator,50-55,72118,youaresosmartifyoufiguredoutthispassword
user61,M,25,technician/engineer,25-34,95122,youaresosmartifyoufiguredoutthispassword
user62,F,35,clerical/admin,35-44,98105,youaresosmartifyoufiguredoutthispassword
user63,M,18,college/grad student,18-24,54902,youaresosmartifyoufiguredoutthispassword
user64,M,18,academic/educator,18-24,53706,youaresosmartifyoufiguredoutthispassword
user65,M,35,programmer,35-44,55803,youaresosmartifyoufiguredoutthispassword
user66,M,25,tradesman/craftsman,25-34,57706,youaresosmartifyoufiguredoutthispassword
user67,F,50,customer service,50-55,60181,youaresosmartifyoufiguredoutthispassword
user68,M,18,college/grad student,18-24,53706,youaresosmartifyoufiguredoutthispassword
user69,F,25,academic/educator,25-34,2143,youaresosmartifyoufiguredoutthispassword
user70,M,18,college/grad student,18-24,53703,youaresosmartifyoufiguredoutthispassword
user71,M,25,sales/marketing,25-34,95008,youaresosmartifyoufiguredoutthispassword
user72,F,45,other or not specified,45-49,55122,youaresosmartifyoufiguredoutthispassword
user73,M,18,college/grad student,18-24,53706,youaresosmartifyoufiguredoutthispassword
user74,M,35,sales/marketing,35-44,94530,youaresosmartifyoufiguredoutthispassword
user75,F,1,K-12 student,Under 18,1748,youaresosmartifyoufiguredoutthispassword
user76,M,35,executive/managerial,35-44,55413,youaresosmartifyoufiguredoutthispassword
user77,M,18,college/grad student,18-24,15321,youaresosmartifyoufiguredoutthispassword
user78,F,45,academic/educator,45-49,98029,youaresosmartifyoufiguredoutthispassword
user79,F,45,other or not specified,45-49,98103,youaresosmartifyoufiguredoutthispassword
user80,M,56,academic/educator,56+,49327,youaresosmartifyoufiguredoutthispassword
user81,F,25,other or not specified,25-34,60640,youaresosmartifyoufiguredoutthispassword
user82,M,25,technician/engineer,25-34,48380,youaresosmartifyoufiguredoutthispassword
user83,F,25,artist,25-34,94609,youaresosmartifyoufiguredoutthispassword
user84,M,18,college/grad student,18-24,53140,youaresosmartifyoufiguredoutthispassword
user85,M,18,college/grad student,18-24,94945,youaresosmartifyoufiguredoutthispassword
user86,F,1,K-12 student,Under 18,54467,youaresosmartifyoufiguredoutthispassword
user87,M,25,sales/marketing,25-34,48360,youaresosmartifyoufiguredoutthispassword
user88,F,45,academic/educator,45-49,2476,youaresosmartifyoufiguredoutthispassword
user89,F,56,homemaker,56+,85749,youaresosmartifyoufiguredoutthispassword
user90,M,56,retired,56+,85749,youaresosmartifyoufiguredoutthispassword
user91,M,35,executive/managerial,35-44,7650,youaresosmartifyoufiguredoutthispassword
user92,F,18,college/grad student,18-24,44243,youaresosmartifyoufiguredoutthispassword
user93,M,25,technician/engineer,25-34,95825,youaresosmartifyoufiguredoutthispassword
user94,M,25,technician/engineer,25-34,28601,youaresosmartifyoufiguredoutthispassword
user95,M,45,other or not specified,45-49,98201,youaresosmartifyoufiguredoutthispassword
user96,F,25,self-employed,25-34,78028,youaresosmartifyoufiguredoutthispassword
user97,F,35,clerical/admin,35-44,66210,youaresosmartifyoufiguredoutthispassword
user98,F,35,executive/managerial,35-44,33547,youaresosmartifyoufiguredoutthispassword
user99,F,1,K-12 student,Under 18,19390,youaresosmartifyoufiguredoutthispassword
